电影排名,电影名称,演员列表,年代,类型,评分,评论人数,海报图片
1,憨豆先生精选辑,"罗温·艾金森,Paul Bown,理查德·布赖尔斯,Angus Deayton,罗宾·德里斯科尔,Tina Maskell,Dave O'Higgins,卡罗琳·昆汀,Rudolph Walker,理查德·威尔逊,Matilda Ziegler",1997,喜剧,9.6,2106,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2354179225.webp
2,美丽人生,"罗伯托·贝尼尼,尼可莱塔·布拉斯基,乔治·坎塔里尼,朱斯蒂诺·杜拉诺,赛尔乔·比尼·布斯特里克,玛丽萨·帕雷德斯,霍斯特·布赫霍尔茨,利迪娅·阿方西,朱利亚娜·洛约迪切,亚美利哥·丰塔尼,彼得·德·席尔瓦,弗朗西斯·古佐,拉法埃拉·莱博罗尼,克劳迪奥·阿方西,吉尔·巴罗尼,马西莫·比安奇,恩尼奥·孔萨尔维,吉安卡尔洛·科森蒂诺,阿伦·克雷格",1997-12-20,"剧情,喜剧,爱情,战争",9.5,472357,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p510861873.webp
3,福尔摩斯二世,"巴斯特·基顿,凯瑟琳•麦奎尔,乔·基顿",1924-04-21,"喜剧,奇幻",9.4,6391,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2206737207.webp
4,西蒙·阿姆斯特尔：顺其自然,西蒙·阿姆斯特尔,2010,喜剧,9.4,1012,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2184490255.webp
5,极品基老伴：完结篇,"伊恩·麦克莱恩,德里克·雅各比,弗朗西斯·德·拉·图瓦,伊万·瑞恩,玛西娅·沃伦,菲利普-沃斯,艾琳·阿特金斯,弗兰西斯·巴贝,阿利斯泰尔·布拉默,理查德·加德",2016-06-19,"喜剧,同性",9.3,14533,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2360539785.webp
6,Kiss Vakond,"Sándor Badár,Eszter Gyalog,János Herskó",1993,喜剧,9.3,2482,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2327626672.webp
7,三傻大闹宝莱坞,"阿米尔·汗,卡琳娜·卡普尔,马达范,沙尔曼·乔希,奥米·瓦依达,博曼·伊拉尼,莫娜·辛格,拉杰夫·拉宾德拉纳特安",2011-12-08,"剧情,喜剧,爱情,歌舞",9.2,762312,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p579729551.webp
8,疯狂动物城,"金妮弗·古德温,杰森·贝特曼,伊德里斯·艾尔巴,珍妮·斯蕾特,内特·托伦斯,邦尼·亨特,唐·雷克,汤米·钟,J·K·西蒙斯,奥克塔维亚·斯宾瑟,艾伦·图代克,夏奇拉,雷蒙德·S·佩尔西,德拉·萨巴,莫里斯·拉马奇,菲尔·约翰斯顿,约翰·迪·玛吉欧,凯蒂·洛斯,吉塔·雷迪,杰西·科尔蒂,汤米·利斯特,乔希·达拉斯,瑞奇·摩尔,凯斯·索西,彼得·曼斯布里奇,拜伦·霍华德,杰拉德·布什,马克·史密斯,乔西·特立尼达,约翰·拉维尔,克里斯汀·贝尔,吉尔·科德斯,梅利莎·古德温",2016-03-04,"喜剧,动画,冒险",9.2,580249,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2315672647.webp
9,大话西游之大圣娶亲,"周星驰,吴孟达,朱茵,蔡少芬,蓝洁瑛,莫文蔚,罗家英,刘镇伟,陆树铭,李健仁",2014-10-24,"喜剧,爱情,奇幻,冒险",9.2,557034,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.webp
10,摩登时代,"查理·卓别林,宝莲·高黛,亨利·伯格曼,Tiny Sandford,切斯特·康克林",1936-02-25,"喜剧,剧情,爱情",9.2,96986,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2173707976.webp
11,城市之光,"查理·卓别林,弗吉尼亚·切瑞尔,佛罗伦斯·李,亨利·伯格曼,珍·哈露",1931-01-30,"喜剧,剧情,爱情",9.2,46017,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2099815842.webp
12,你逃我也逃,"卡洛·朗白,杰克·本尼,罗伯特·斯塔克,菲利克斯·布雷萨特,莱昂内尔·阿特威尔",1942-03-06,"喜剧,战争",9.2,12586,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1339915772.webp
13,极品基老伴：2013圣诞特辑,"伊恩·麦克莱恩,德里克·雅各比,弗朗西斯·德·拉·图瓦,伊万·瑞恩,玛西娅·沃伦",2013-12-27,喜剧,9.2,10417,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2187166976.webp
14,欢乐树的朋友们：赶尽杀绝,"Aubrey Ankrum,Dana Belben,Jeff Biancalana,Mark Giambruno,Warren Graff,Peter Herrmann",2005-11-28,"动画,喜剧",9.2,4604,https://img3.doubanio.com/view/subject/l/public/s1806732.jpg
15,欢乐树的朋友们：第二发球,"Michael 'Lippy' Lipman,Peter Herrmann,Liz Stewart,Nica Lorber",2003,"喜剧,动画",9.2,4000,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2162261726.webp
16,欢乐树的朋友们：第三击,"Michael 'Lippy' Lipman,Peter Herrmann,Liz Stewart",2004-08-01,"喜剧,动画",9.2,3167,https://img3.doubanio.com/view/subject/l/public/s1806711.jpg
17,狐妖小红娘剧场版：王权富贵,"杨天翔,刘校妤,乔诗语",2016-05-20,"剧情,喜剧,爱情",9.2,1430,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2409467410.webp
18,寻梦环游记,"安东尼·冈萨雷斯,盖尔·加西亚·贝纳尔,本杰明·布拉特,阿兰纳·乌巴奇,芮妮·维克托,杰米·卡米尔,阿方索·阿雷奥,赫伯特·西古恩萨,加布里埃尔·伊格莱西亚斯,隆巴多·博伊尔,安娜·奥菲丽亚·莫吉亚,娜塔丽·科尔多瓦,赛琳娜·露娜,爱德华·詹姆斯·奥莫斯,索菲亚·伊斯皮诺萨,卡拉·梅迪纳,黛娅娜·欧特里,路易斯·瓦尔德斯,布兰卡·阿拉切利,萨尔瓦多·雷耶斯,切奇·马林,奥克塔维·索利斯,约翰·拉岑贝格",2017-11-24,"喜剧,动画,冒险,音乐,家庭",9.1,476739,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2503997609.webp
19,触不可及,"弗朗索瓦·克鲁塞,奥玛·希,安娜·勒尼,奥德雷·弗勒罗,托马·索利韦尔",2011-11-02,"剧情,喜剧",9.1,412883,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.webp
20,两杆大烟枪,"杰森·弗莱明,德克斯特·弗莱彻,尼克·莫兰,杰森·斯坦森,斯蒂文·麦金托什,斯汀,维尼·琼斯",1998-08-28,"剧情,喜剧,犯罪",9.1,295343,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p792443418.webp
21,地下,"米基·马诺伊洛维奇,拉扎尔·里斯托夫斯基,米里亚娜·约科维奇,斯拉夫科·斯提马科,恩斯特·施托兹",1995-04-01,"喜剧,剧情,战争",9.1,26292,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1833776334.webp
22,寻子遇仙记,"查理·卓别林,杰基·库根",1921-02-06,"喜剧,剧情,家庭",9.1,15143,https://img1.doubanio.com/view/photo/s_ratio_poster/public/p2332976198.webp
23,马戏团,"查理·卓别林,梅尔纳·肯尼迪,阿尔·欧内斯特·加西亚",1928-01-06,"喜剧,爱情",9.1,5795,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2248445275.webp
24,欢乐树的朋友们,,2006-05-03,"动画,喜剧",9.1,3996,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1269191733.webp
25,欢乐树的朋友们：滑雪巡逻救生队,"Ellen Connell,Warren Graff,Kenn Navarro,Billy West,David Winn",2006-04-12,"喜剧,动画",9.1,1377,https://img3.doubanio.com/view/subject/l/public/s3622650.jpg
26,日本之形,"小林賢太郎,片桐仁,斉木しげる",2007-02-10,喜剧,9.1,1348,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2253859656.webp
27,雨中曲,"吉恩·凯利,唐纳德·奥康纳,黛比·雷诺斯,赛德·查里斯,简·哈根",1952-04-11,"喜剧,歌舞,爱情",9.0,97005,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1612355875.webp
28,淘金记,"查理·卓别林,马克·斯旺,乔治亚·黑尔",1925-06-26,"冒险,喜剧,家庭,爱情,西部",9.0,17213,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p1581774481.webp
29,将军号,"巴斯特·基顿,玛丽昂·马克,格伦·卡文德,吉姆·法利,弗雷德里克·弗鲁姆,查尔斯·亨利·史密斯,弗兰克·巴恩斯,乔·基顿,麦克·多林,汤姆·纳恩",1926-12-31,"剧情,喜剧,动作,战争,冒险",9.0,8428,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2248676081.webp
30,欢乐树的朋友们：第一滴血,"Peter Herrmann,Liz Stewart,Aubrey Ankrum,Dana Belben,Jeff Biancalana,Mark Giambruno,沃伦·格拉夫,Peter Herman,Michael 'Lippy' Lipman",2002-02-18,"动画,喜剧",9.0,6640,https://img1.doubanio.com/view/subject/l/public/s1806727.jpg
31,流浪者之歌,"达沃尔·杜伊莫维奇,博拉·托德洛维奇,Ljubica Adzovic",1988-12-21,"喜剧,犯罪,剧情,奇幻",9.0,3808,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p2267333084.webp
32,木更津猫眼 世界系列,"冈田准一,樱井翔,冈田义德,佐藤隆太,塚本高史,酒井若菜",2006-10-28,"喜剧,剧情",9.0,2778,https://img3.doubanio.com/view/photo/s_ratio_poster/public/p764157116.webp
33,小不列颠：现场版,"大卫·威廉姆斯,马特·卢卡斯,汤姆·贝克",2006-11-13,喜剧,9.0,2489,https://img1.doubanio.com/view/subject/l/public/s2752947.jpg
